127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001063
127.0.0.1, 2018-04-22 23:31:39, GET, /start/default/onechi, HTTP/1.1, 404, 0.162747
127.0.0.1, 2018-04-22 23:31:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2018-04-22 23:31:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2018-04-22 23:31:53, GET, /start/cats/onechi, HTTP/1.1, 200, 0.033297
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003285
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002024
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.009144
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.020409
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.028817
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.026944
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.010571
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.033840
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.013470
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.021767
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.033306
127.0.0.1, 2018-04-22 23:31:53, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001370
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.046177
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002383
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003243
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.009024
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.011482
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.011160
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.015500
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.023170
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.027184
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.009441
127.0.0.1, 2018-04-22 23:36:11, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.017002
127.0.0.1, 2018-04-22 23:36:13, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002909
127.0.0.1, 2018-04-22 23:36:13, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.007825
127.0.0.1, 2018-04-22 23:36:13, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.007279
127.0.0.1, 2018-04-23 11:21:45, GET, /start/default/index, HTTP/1.1, 200, 2.559248
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.006016
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.027971
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.041153
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.019525
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.041917
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.032191
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.084720
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.081575
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.090740
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.131271
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.090276
127.0.0.1, 2018-04-23 11:21:45, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.008134
127.0.0.1, 2018-04-23 11:44:00, GET, /start/default/index, HTTP/1.1, 200, 0.218484
127.0.0.1, 2018-04-23 11:44:00, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.009997
127.0.0.1, 2018-04-23 11:44:00, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.019012
127.0.0.1, 2018-04-23 11:44:00, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.041460
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.037450
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.106783
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.061263
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.091622
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.090690
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.130626
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.072701
127.0.0.1, 2018-04-23 11:44:01, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.074488
127.0.0.1, 2018-04-24 12:02:53, GET, /start/default/index, HTTP/1.1, 500, 1.785403
127.0.0.1, 2018-04-24 12:02:58, GET, /, HTTP/1.1, 303, 0.000802
127.0.0.1, 2018-04-24 12:02:58, GET, /welcome/default/index, HTTP/1.1, 404, 0.000421
127.0.0.1, 2018-04-24 12:03:31, GET, /, HTTP/1.1, 303, 0.000741
127.0.0.1, 2018-04-24 12:03:31, GET, /welcome/default/index, HTTP/1.1, 404, 0.000422
127.0.0.1, 2018-04-24 12:04:09, GET, /, HTTP/1.1, 303, 0.000691
127.0.0.1, 2018-04-24 12:04:09, GET, /welcome/default/index, HTTP/1.1, 404, 0.000479
127.0.0.1, 2018-04-24 12:04:20, GET, /welcome/default/index, HTTP/1.1, 404, 0.000572
127.0.0.1, 2018-04-24 12:04:41, GET, /welcome/default/index, HTTP/1.1, 404, 0.000536
127.0.0.1, 2018-04-24 12:04:43, GET, /welcome/default/index, HTTP/1.1, 404, 0.000645
127.0.0.1, 2018-04-24 12:04:43, GET, /welcome/default/index, HTTP/1.1, 404, 0.000682
127.0.0.1, 2018-04-24 12:04:47, GET, /welcome, HTTP/1.1, 404, 0.000484
127.0.0.1, 2018-04-24 12:04:53, GET, /, HTTP/1.1, 303, 0.001167
127.0.0.1, 2018-04-24 12:04:53, GET, /welcome/default/index, HTTP/1.1, 404, 0.000426
127.0.0.1, 2018-04-24 12:05:43, GET, /welcome/default/index, HTTP/1.1, 404, 0.039638
127.0.0.1, 2018-04-24 12:05:47, GET, /admin/default/ticket/start/127.0.0.1.2018-04-24.12-02-51.ce60716e-e730-4760-a6b6-44e5be054a2f, HTTP/1.1, 404, 0.000635
127.0.0.1, 2018-04-24 12:06:14, GET, /welcome/default/index, HTTP/1.1, 404, 0.000767
127.0.0.1, 2018-04-24 12:06:50, GET, /start/default/index, HTTP/1.1, 200, 0.503802
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.014281
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.025340
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.027561
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.043172
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.057277
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.055372
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.088192
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.127886
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.174230
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.201612
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.224510
127.0.0.1, 2018-04-24 12:06:50, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.008496
127.0.0.1, 2018-04-24 12:09:18, GET, /start/default/user, HTTP/1.1, 303, 0.028883
127.0.0.1, 2018-04-24 12:09:19, GET, /start/default/user/login, HTTP/1.1, 200, 0.217059
127.0.0.1, 2018-04-24 12:11:25, GET, /start/default/user/register, HTTP/1.1, 200, 0.321683
127.0.0.1, 2018-04-24 12:11:45, POST, /start/default/user/register, HTTP/1.1, 303, 0.181579
127.0.0.1, 2018-04-24 12:11:45, GET, /start/default/index, HTTP/1.1, 200, 0.057624
127.0.0.1, 2018-04-24 12:11:49, GET, /start/default/add, HTTP/1.1, 200, 0.080581
127.0.0.1, 2018-04-24 12:11:56, POST, /start/default/add, HTTP/1.1, 303, 0.137568
127.0.0.1, 2018-04-24 12:11:56, GET, /start/default/index, HTTP/1.1, 200, 0.062446
127.0.0.1, 2018-04-24 12:11:59, GET, /start/default/add, HTTP/1.1, 200, 0.077706
127.0.0.1, 2018-04-24 12:12:07, POST, /start/default/add, HTTP/1.1, 303, 0.160465
127.0.0.1, 2018-04-24 12:12:07, GET, /start/default/index, HTTP/1.1, 200, 0.057852
127.0.0.1, 2018-04-24 12:13:25, GET, /start/default/user/logout, HTTP/1.1, 303, 0.053937
127.0.0.1, 2018-04-24 12:13:25, GET, /start/default/index, HTTP/1.1, 200, 0.112369
127.0.0.1, 2018-04-24 12:13:25, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003399
127.0.0.1, 2018-04-24 12:13:25, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001970
127.0.0.1, 2018-04-24 12:17:14, GET, /start/default/user, HTTP/1.1, 303, 0.025629
127.0.0.1, 2018-04-24 12:17:14, GET, /start/default/user/login, HTTP/1.1, 200, 0.058348
127.0.0.1, 2018-04-24 12:17:15, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.006599
127.0.0.1, 2018-04-24 12:18:05, GET, /start/default/index, HTTP/1.1, 200, 0.034113
127.0.0.1, 2018-04-24 12:18:47, GET, /start/default/user, HTTP/1.1, 303, 0.022246
127.0.0.1, 2018-04-24 12:18:47, GET, /start/default/user/login, HTTP/1.1, 200, 0.055842
127.0.0.1, 2018-04-24 12:18:50, POST, /start/default/user/login, HTTP/1.1, 303, 0.133468
127.0.0.1, 2018-04-24 12:18:50, GET, /start/default/index, HTTP/1.1, 200, 0.056450
127.0.0.1, 2018-04-24 12:20:35, GET, /start/default/index, HTTP/1.1, 200, 0.067964
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002355
